"","mpg","milage","maketype","car_id","region","year","price","link","make","type","dealer","sold","scrapedate"
"398","25.0",43000,"Ford Puma 1,0 EcoBoost mHEV ST-Line X 5d","5613307","Syd- og Vestsjælland",2020,249900,"https://bilbasen.dk/brugt/bil/ford/puma/10-ecoboost-mhev-st-line-x-5d/5613307","Ford","Puma",NA,0,"2022-11-08 22:29:38.772658"
"399","26.3",97622,"Toyota Aygo 1,0 VVT-i x-play Touch 5d","5599305","København",2015,74900,"https://bilbasen.dk/brugt/bil/toyota/aygo/10-vvt-i-x-play-touch-5d/5599305","Toyota","Aygo","75d7e816-ab95-42c1-a0a2-075b589b46bf",0,"2022-11-08 22:29:38.772658"
"400","23.8",43900,"Toyota Aygo 1,0 VVT-i x-cellence x-shift 5d","5584268","Syd- og Sønderjylland",2018,118900,"https://bilbasen.dk/brugt/bil/toyota/aygo/10-vvt-i-x-cellence-x-shift-5d/5584268","Toyota","Aygo","ff12e58b-937a-494b-9cef-8bdb2f1e61ea",0,"2022-11-08 22:29:38.772658"
"401","22.4",5000,"Ford Puma 1,0 EcoBoost mHEV Titanium 5d","5394080","Vestjylland",2022,269500,"https://bilbasen.dk/brugt/bil/ford/puma/10-ecoboost-mhev-titanium-5d/5394080","Ford","Puma","0a00f372-9779-4bdc-8ecd-2b4a11618bd9",0,"2022-11-08 22:29:38.772658"
"402","15.2",148000,"Toyota Avensis 1,8 VVT-i T2 Premium stc. 5d","5610306","Østjylland",2014,119500,"https://bilbasen.dk/brugt/bil/toyota/avensis/18-vvt-i-t2-premium-stc-5d/5610306","Toyota","Avensis","d5605f30-8e34-4fba-804b-8fde10a84577",0,"2022-11-08 22:29:38.772658"
"403","14.0",176000,"Volvo V50 1,6 Momentum 5d","5613295","København",2008,57900,"https://bilbasen.dk/brugt/bil/volvo/v50/16-momentum-5d/5613295","Volvo","V50","1b7a135b-d63b-42be-a550-f912882f9fef",0,"2022-11-08 22:29:38.772658"
"404","22.9",42000,"Ford Focus 1,0 EcoBoost ST-Line Business 5d","5613296","København",2019,217000,"https://bilbasen.dk/brugt/bil/ford/focus/10-ecoboost-st-line-business-5d/5613296","Ford","Focus","f1a2c9ec-df55-4d6e-8903-e9894dc3afa6",0,"2022-11-08 22:29:38.772658"
"405","17.9",105000,"Ford Focus 1,5 SCTi 150 Titanium stc. 5d","5569567","Syd- og Vestsjælland",2017,164800,"https://bilbasen.dk/brugt/bil/ford/focus/15-scti-150-titanium-stc-5d/5569567","Ford","Focus","65ba3769-0036-42a8-8271-b2b6552da8df",0,"2022-11-08 22:29:38.772658"
"406","23.3",137000,"Ford Fiesta 1,0 SCTi 125 Titanium 5d","5601670","Østjylland",2015,89900,"https://bilbasen.dk/brugt/bil/ford/fiesta/10-scti-125-titanium-5d/5601670","Ford","Fiesta",NA,0,"2022-11-08 22:29:38.772658"
"407","26.3",77000,"Toyota Aygo 1,0 VVT-i x-sky 5d","5613271","Vestjylland",2017,89800,"https://bilbasen.dk/brugt/bil/toyota/aygo/10-vvt-i-x-sky-5d/5613271","Toyota","Aygo","7ba6f98e-7adc-4852-8335-1572087362d0",0,"2022-11-08 22:29:38.772658"
"408","14.7",172000,"Ford Mondeo 1,6 SCTi 160 Trend stc. 5d","5613281","København",2011,74900,"https://bilbasen.dk/brugt/bil/ford/mondeo/16-scti-160-trend-stc-5d/5613281","Ford","Mondeo","299d101d-27db-43ba-8a51-2981f6cc5142",0,"2022-11-08 22:29:38.772658"
